,Q1,Q2,Q3,Q4
EasternCape_HY_ZAF,0.37,0.37,0.37,0.37
DrakensbergPH_HY_ZAF,0.85,0.85,0.85,0.85
Gariep_HY_ZAF,0.37,0.37,0.37,0.37
Ingula_HY_ZAF,0.85,0.85,0.85,0.85
Neusberg_HY_ZAF,0.6,0.6,0.6,0.6
PalmietPH_HY_ZAF,0.85,0.85,0.85,0.85
SreenbrasPH_HY_ZAF,0.85,0.85,0.85,0.85
Vanderkloof_HY_ZAF,0.37,0.37,0.37,0.37
Acacia_TH_ZAF,0.85,0.85,0.85,0.85
Ankerlig(Atlantis)_TH_ZAF,0.85,0.85,0.85,0.85
Avon_TH_ZAF,0.85,0.85,0.85,0.85
Dedisa_TH_ZAF,0.85,0.85,0.85,0.85
Gourikwa_TH_ZAF,0.85,0.85,0.85,0.85
PortRexGas_TH_ZAF,0.85,0.85,0.85,0.85
Sasolburg_TH_ZAF,0.85,0.85,0.85,0.85
Secunda(SasolSynthetic)_TH_ZAF,0.85,0.85,0.85,0.85
Arnot1_TH_ZAF,0.65,0.65,0.65,0.65
Arnot2_TH_ZAF,0.65,0.65,0.65,0.65
Arnot3_TH_ZAF,0.65,0.65,0.65,0.65
Arnot4_TH_ZAF,0.65,0.65,0.65,0.65
Arnot5_TH_ZAF,0.65,0.65,0.65,0.65
Arnot6_TH_ZAF,0.65,0.65,0.65,0.65
Athlone_RP_NG_ZAF,0.85,0.85,0.85,0.85
Roggebaai_NG_ZAF,0.85,0.85,0.85,0.85
Bloemfontein_TH_ZAF,0.65,0.65,0.65,0.65
Camden1_TH_ZAF,0.65,0.65,0.65,0.65
Camden2_TH_ZAF,0.65,0.65,0.65,0.65
Camden3_TH_ZAF,0.65,0.65,0.65,0.65
Camden4_TH_ZAF,0.65,0.65,0.65,0.65
Camden5_TH_ZAF,0.65,0.65,0.65,0.65
Camden6_TH_ZAF,0.65,0.65,0.65,0.65
Camden7_TH_ZAF,0.65,0.65,0.65,0.65
Camden8_TH_ZAF,0.65,0.65,0.65,0.65
Duvha1_TH_ZAF,0.65,0.65,0.65,0.65
Duvha2_TH_ZAF,0.65,0.65,0.65,0.65
Duvha3_TH_ZAF,0.65,0.65,0.65,0.65
Duvha4_TH_ZAF,0.65,0.65,0.65,0.65
Duvha5_TH_ZAF,0.65,0.65,0.65,0.65
Duvha6_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei1_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei2_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei3_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei4_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei5_TH_ZAF,0.65,0.65,0.65,0.65
Grootvlei6_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina1_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina2_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina3_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina4_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina5_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina6_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina7_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina8_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina9_TH_ZAF,0.65,0.65,0.65,0.65
Hendrina10_TH_ZAF,0.65,0.65,0.65,0.65
KelvinA_TH_ZAF,0.65,0.65,0.65,0.65
KelvinB_TH_ZAF,0.65,0.65,0.65,0.65
Kendal1_TH_ZAF,0.65,0.65,0.65,0.65
Kendal2_TH_ZAF,0.65,0.65,0.65,0.65
Kendal3_TH_ZAF,0.65,0.65,0.65,0.65
Kendal4_TH_ZAF,0.65,0.65,0.65,0.65
Kendal5_TH_ZAF,0.65,0.65,0.65,0.65
Kendal6_TH_ZAF,0.65,0.65,0.65,0.65
Komati_TH_ZAF,0.65,0.65,0.65,0.65
Kriel1_TH_ZAF,0.65,0.65,0.65,0.65
Kriel2_TH_ZAF,0.65,0.65,0.65,0.65
Kriel3_TH_ZAF,0.65,0.65,0.65,0.65
Kriel4_TH_ZAF,0.65,0.65,0.65,0.65
Kriel5_TH_ZAF,0.65,0.65,0.65,0.65
Kriel6_TH_ZAF,0.65,0.65,0.65,0.65
Kusile1_TH_ZAF,0.85,0.85,0.85,0.85
Kusile2_TH_ZAF,0.85,0.85,0.85,0.85
Kusile3_TH_ZAF,0.85,0.85,0.85,0.85
Kusile4_TH_ZAF,0.85,0.85,0.85,0.85
Kusile5_TH_ZAF,0.85,0.85,0.85,0.85
Kusile6_TH_ZAF,0.85,0.85,0.85,0.85
Lethabo1_TH_ZAF,0.65,0.65,0.65,0.65
Lethabo2_TH_ZAF,0.65,0.65,0.65,0.65
Lethabo3_TH_ZAF,0.65,0.65,0.65,0.65
Lethabo4_TH_ZAF,0.65,0.65,0.65,0.65
Lethabo5_TH_ZAF,0.65,0.65,0.65,0.65
Lethabo6_TH_ZAF,0.65,0.65,0.65,0.65
Majuba1_TH_ZAF,0.65,0.65,0.65,0.65
Majuba2_TH_ZAF,0.65,0.65,0.65,0.65
Majuba3_TH_ZAF,0.65,0.65,0.65,0.65
Majuba4_TH_ZAF,0.65,0.65,0.65,0.65
Majuba5_TH_ZAF,0.85,0.85,0.85,0.85
Majuba6_TH_ZAF,0.85,0.85,0.85,0.85
Matimba1_TH_ZAF,0.65,0.65,0.65,0.65
Matimba2_TH_ZAF,0.65,0.65,0.65,0.65
Matimba3_TH_ZAF,0.65,0.65,0.65,0.65
Matimba4_TH_ZAF,0.65,0.65,0.65,0.65
Matimba5_TH_ZAF,0.65,0.65,0.65,0.65
Matimba6_TH_ZAF,0.65,0.65,0.65,0.65
Matla1_TH_ZAF,0.65,0.65,0.65,0.65
Matla2_TH_ZAF,0.65,0.65,0.65,0.65
Matla3_TH_ZAF,0.65,0.65,0.65,0.65
Matla4_TH_ZAF,0.65,0.65,0.65,0.65
Matla5_TH_ZAF,0.65,0.65,0.65,0.65
Matla6_TH_ZAF,0.65,0.65,0.65,0.65
Medupi1_TH_ZAF,0.85,0.85,0.85,0.85
Medupi2_TH_ZAF,0.85,0.85,0.85,0.85
Medupi3_TH_ZAF,0.85,0.85,0.85,0.85
Medupi4_TH_ZAF,0.85,0.85,0.85,0.85
Medupi5_TH_ZAF,0.85,0.85,0.85,0.85
Medupi6_TH_ZAF,0.85,0.85,0.85,0.85
PretoriaWest_TH_ZAF,0.65,0.65,0.65,0.65
Rooiwal_TH_ZAF,0.65,0.65,0.65,0.65
Secunda(SasolChemical)_TH_ZAF,0.85,0.85,0.85,0.85
Tutuka1_TH_ZAF,0.65,0.65,0.65,0.65
Tutuka2_TH_ZAF,0.65,0.65,0.65,0.65
Tutuka3_TH_ZAF,0.65,0.65,0.65,0.65
Tutuka4_TH_ZAF,0.65,0.65,0.65,0.65
Tutuka5_TH_ZAF,0.65,0.65,0.65,0.65
Tutuka6_TH_ZAF,0.65,0.65,0.65,0.65
Koeberg_NU_ZAF,0.9,0.9,0.9,0.9
ExistingWater_FreeState,0.37,0.37,0.37,0.37
ExistingPV_Limpopo,1,1,1,1
ExistingPV_NorthWest,1,1,1,1
ExistingPV_NorthernCape,1,1,1,1
ExistingPV_FreeState,1,1,1,1
ExistingPV_EasternCape,1,1,1,1
ExistingPV_WesternCape,1,1,1,1
ExistingCSP_NorthernCape,1,1,1,1
ExistingWind_NorthernCape,1,1,1,1
ExistingWind_WesternCape,1,1,1,1
ExistingWind_EasternCape,1,1,1,1
JohannesburgLandfillGas_TH_ZAF,0.85,0.85,0.85,0.85
MkuzeBiomass_BIO_ZAF,0.85,0.85,0.85,0.85
NgodwanaEnergyProject_BIO_ZAF,0.85,0.85,0.85,0.85
Sere_WIND_ZAF,1,1,1,1
Komati_Wind_ZAF,1,1,1,1
Komati_Solar_ZAF,1,1,1,1
Komati_Battery_ZAF,1,1,1,1
WindBidW5_EasternCape,1,1,1,1
WindBidW5_WesternCape,1,1,1,1
PVBidW5_FreeState,1,1,1,1
Granspan_PV_NorthernCape,1,1,1,1
Grootfontein_PV_WesternCape,1,1,1,1
WindBidW7_EasternCape,1,1,1,1
WindBidW7_KwaZuluNatal,1,1,1,1
WindBidW7_NorthernCape,1,1,1,1
WindBidW7_WesternCape,1,1,1,1
WindBidW7_FreeSstate,1,1,1,1
WindBidW7_Limpopo,1,1,1,1
WindBidW7_Mpumalanga,1,1,1,1
WindBidW7_NorthWest,1,1,1,1
PVBidW7_NorthernCape,1,1,1,1
Redstone_CSP_NorthernCape,1,1,1,1
BatteryIPP_WesternCape,1,1,1,1