zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
South_Africa,Q1,d1,0.600793126,0.628380126,0.600793126,0.595333199,0.595333199,0.600793126,0.684157591,0.792723929,0.822494899,0.918072358,0.918072358,0.949078997,0.944481163,0.918072358,0.884220811,0.884220811,0.918072358,0.931894595,0.861059226,0.822494899,0.760222995,0.728153108,0.684157591,0.600793126
South_Africa,Q1,d2,0.582775367,0.617115434,0.582775367,0.580418978,0.580418978,0.582775367,0.66777781,0.764734619,0.789562918,0.855714245,0.868013449,0.901520159,0.895083192,0.868013449,0.855714245,0.841748326,0.868013449,0.868013449,0.789562918,0.764734619,0.706514555,0.706514555,0.66777781,0.582775367
South_Africa,Q1,d3,0.586740998,0.586740998,0.559929883,0.556883819,0.556883819,0.556883819,0.559929883,0.626081209,0.714158453,0.794275698,0.848673812,0.848673812,0.848673812,0.794275698,0.771775051,0.771775051,0.771775051,0.771775051,0.714158453,0.67093882,0.67093882,0.67093882,0.648696802,0.586740998
South_Africa,Q1,d4,0.596051611,0.624500704,0.593063019,0.593063019,0.593063019,0.596051611,0.681370154,0.752521624,0.813213023,0.90637662,0.90637662,0.935400443,0.932296905,0.90637662,0.874048105,0.874048105,0.90637662,0.90637662,0.844133452,0.787781258,0.725566827,0.725566827,0.681370154,0.596051611
South_Africa,Q2,d1,0.634960775,0.634960775,0.600304606,0.600304606,0.600304606,0.634960775,0.696198167,0.808270353,0.87059973,0.97930975,0.96195293,0.992471048,0.97930975,0.96195293,0.93298658,0.913531998,0.97930975,1,0.96195293,0.913531998,0.808270353,0.761774764,0.696198167,0.600304606
South_Africa,Q2,d2,0.608494497,0.634098681,0.608494497,0.601511538,0.601511538,0.608494497,0.691600333,0.802005805,0.835914825,0.935544125,0.935544125,0.965832352,0.957757407,0.935544125,0.896146441,0.896146441,0.942383402,0.955975746,0.896146441,0.835914825,0.772579672,0.736256789,0.691600333,0.608494497
South_Africa,Q2,d3,0.63556424,0.609787638,0.573464755,0.573464755,0.573464755,0.573464755,0.603235725,0.67142734,0.737636139,0.851806086,0.901692577,0.91505503,0.901692577,0.840972442,0.805597862,0.805597862,0.805597862,0.805597862,0.774964798,0.737636139,0.696772896,0.696772896,0.67142734,0.609787638
South_Africa,Q2,d4,0.620563809,0.620563809,0.610994569,0.610994569,0.610994569,0.620563809,0.71815282,0.801114975,0.873243484,0.96698181,0.96698181,0.986493865,0.986493865,0.952671054,0.929365786,0.929365786,0.96698181,0.992269893,0.952671054,0.873243484,0.801114975,0.756171154,0.690077301,0.620563809
South_Africa,Q3,d1,0.631943447,0.631943447,0.602000057,0.602000057,0.602000057,0.631943447,0.696054484,0.804764505,0.87376074,0.973160148,0.959280439,0.988936464,0.973160148,0.959280439,0.932239432,0.909710049,0.973160148,0.997413719,0.959280439,0.87376074,0.804764505,0.758987327,0.696054484,0.602000057
South_Africa,Q3,d2,0.62412713,0.62412713,0.606310526,0.606310526,0.606310526,0.62412713,0.689789936,0.798816058,0.869019225,0.950975603,0.965315095,0.985171988,0.985171988,0.950975603,0.927382971,0.905140952,0.965315095,0.990718124,0.927382971,0.869019225,0.798816058,0.753642346,0.689789936,0.606310526
South_Africa,Q3,d3,0.613868215,0.613868215,0.604298974,0.604298974,0.604298974,0.613868215,0.706112245,0.806574902,0.843587459,0.941578781,0.941578781,0.971493434,0.964740366,0.941578781,0.90410644,0.90410644,0.94629156,0.962815023,0.90410644,0.843587459,0.77786718,0.739762637,0.681341418,0.613868215
South_Africa,Q3,d4,0.628954855,0.606540418,0.566309377,0.56903934,0.56903934,0.56903934,0.566309377,0.636196442,0.728986465,0.824707607,0.884450703,0.889680738,0.884450703,0.824707607,0.79028133,0.79028133,0.79028133,0.79028133,0.728986465,0.728986465,0.685307049,0.685307049,0.67134113,0.606540418
South_Africa,Q4,d1,0.598408,0.623954711,0.594212477,0.594212477,0.594212477,0.598408,0.679789649,0.789131872,0.815167103,0.906836403,0.906836403,0.939452283,0.935371706,0.906836403,0.874105578,0.874105578,0.906836403,0.914020518,0.847495618,0.815167103,0.753096353,0.724819679,0.679789649,0.598408
South_Africa,Q4,d2,0.596310239,0.596310239,0.592287135,0.592287135,0.592287135,0.596310239,0.665363947,0.749676715,0.810253168,0.895485502,0.901290267,0.933934883,0.930802609,0.901290267,0.869249116,0.869249116,0.895485502,0.901290267,0.840512658,0.785108767,0.721285094,0.721285094,0.677634415,0.596310239
South_Africa,Q4,d3,0.588580132,0.560447139,0.546423748,0.546021437,0.546021437,0.537774074,0.546423748,0.589499698,0.661053479,0.74622834,0.798643639,0.826316848,0.798643639,0.781717865,0.74622834,0.71726199,0.74622834,0.74622834,0.71726199,0.673065318,0.661053479,0.661053479,0.628408862,0.560447139
South_Africa,Q4,d4,0.58105118,0.616080922,0.58105118,0.582286847,0.582286847,0.58105118,0.665249001,0.76358516,0.788298514,0.854248685,0.866576626,0.899738498,0.893761315,0.866576626,0.854248685,0.840455185,0.866576626,0.866576626,0.788298514,0.76358516,0.704301848,0.704301848,0.665249001,0.58105118