Plants,Firm,Zone,Type,Fuel ,StYr,ReYr,Capacity,Status,HeatRate,FOM,VOM,RampUpRate,RampDownRate,VRE
EasternCape_HY_ZAF,Fringe,South_Africa,ROR,Water,1985,2050,42,0,,46500,0.55,1,1,0
DrakensbergPH_HY_ZAF,Fringe,South_Africa,STORAGE,Water,1985,2050,1000,0,,20200,0.58,1,1,0
Gariep_HY_ZAF,Fringe,South_Africa,ROR,Water,1971,2050,360,0,,46500,0.55,1,1,0
Ingula_HY_ZAF,Fringe,South_Africa,STORAGE,Water,2017,2050,1324,0,,20200,0.58,1,1,0
Neusberg_HY_ZAF,Fringe,South_Africa,ROR,Water,2014,2050,12.57,0,,46500,0.55,1,1,0
PalmietPH_HY_ZAF,Fringe,South_Africa,STORAGE,Water,1988,2050,400,0,,20200,0.58,1,1,0
SreenbrasPH_HY_ZAF,Fringe,South_Africa,STORAGE,Water,1979,2050,180,0,,20200,0.58,1,1,0
Vanderkloof_HY_ZAF,Fringe,South_Africa,ROR,Water,1976,2050,240,0,,46500,0.55,1,1,0
Acacia_TH_ZAF,Fringe,South_Africa,GT,FuelOil,1976,2026,171,0,11.26101378,26000,6.4,1,1,0
Ankerlig(Atlantis)_TH_ZAF,Fringe,South_Africa,GT,FuelOil,2007,2057,1327,0,9.39286647,26000,6.4,1,1,0
Avon_TH_ZAF,Fringe,South_Africa,GT,FuelOil,2016,2066,670,0,13.62107811,26000,6.4,1,1,0
Dedisa_TH_ZAF,Fringe,South_Africa,GT,FuelOil,2015,2065,335,0,13.62107811,26000,6.4,1,1,0
Gourikwa_TH_ZAF,Fringe,South_Africa,GT,FuelOil,2007,2057,740,0,9.39286647,26000,6.4,1,1,0
PortRexGas_TH_ZAF,Fringe,South_Africa,GT,FuelOil,1976,2026,171,0,11.26101378,26000,6.4,1,1,0
Sasolburg_TH_ZAF,Fringe,South_Africa,GT,Gas,2012,2052,174.6,0,9.990938997,26000,5,1,1,0
Secunda(SasolSynthetic)_TH_ZAF,Fringe,South_Africa,CCGT,Gas,2010,2050,280,0,11.49796803,34000,2.04,1,1,0
Arnot1_TH_ZAF,Eskom,South_Africa,ST,Coal,1972,2030,350,0,14.7,86000,0.13,0.33,0.33,0
Arnot2_TH_ZAF,Eskom,South_Africa,ST,Coal,1971,2030,350,0,14.75,86000,0.13,0.33,0.33,0
Arnot3_TH_ZAF,Eskom,South_Africa,ST,Coal,1971,2030,350,0,14.75,86000,0.13,0.33,0.33,0
Arnot4_TH_ZAF,Eskom,South_Africa,ST,Coal,1973,2030,350,0,14.65,86000,0.13,0.33,0.33,0
Arnot5_TH_ZAF,Eskom,South_Africa,ST,Coal,1974,2030,350,0,14.6,86000,0.13,0.33,0.33,0
Arnot6_TH_ZAF,Eskom,South_Africa,ST,Coal,1975,2030,350,0,14.55,86000,0.13,0.33,0.33,0
Athlone_RP_NG_ZAF,Fringe,South_Africa,GT,Gas,2021,2061,36,0,10,26000,5,1,1,0
Roggebaai_NG_ZAF,Fringe,South_Africa,GT,Gas,2018,2058,40,0,10,26000,5,1,1,0
Bloemfontein_TH_ZAF,Fringe,South_Africa,ST,Coal,1965,2015,103,0,14.10657267,86000,0.13,0.33,0.33,0
Camden1_TH_ZAF,Eskom,South_Africa,ST,Coal,1968,2030,189.7501602,0,13.21557163,86000,0.13,0.33,0.33,0
Camden2_TH_ZAF,Eskom,South_Africa,ST,Coal,1967,2030,189.7501602,0,13.21557163,86000,0.13,0.33,0.33,0
Camden3_TH_ZAF,Eskom,South_Africa,ST,Coal,1967,2030,189.7501602,0,13.21557163,86000,0.13,0.33,0.33,0
Camden4_TH_ZAF,Eskom,South_Africa,ST,Coal,1967,2030,185.0064061,0,13.21557163,86000,0.13,0.33,0.33,0
Camden5_TH_ZAF,Eskom,South_Africa,ST,Coal,1967,2030,185.0064061,0,13.21557163,86000,0.13,0.33,0.33,0
Camden6_TH_ZAF,Eskom,South_Africa,ST,Coal,1968,2030,180.2626521,0,13.21557163,86000,0.13,0.33,0.33,0
Camden7_TH_ZAF,Eskom,South_Africa,ST,Coal,1969,2030,175.5188981,0,13.21557163,86000,0.13,0.33,0.33,0
Camden8_TH_ZAF,Eskom,South_Africa,ST,Coal,1969,2030,189.7501602,0,13.21557163,86000,0.13,0.33,0.33,0
Duvha1_TH_ZAF,Eskom,South_Africa,ST,Coal,1980,2030,575,0,13.3,86000,0.13,0.33,0.33,0
Duvha2_TH_ZAF,Eskom,South_Africa,ST,Coal,1980,2030,575,0,13.3,86000,0.13,0.33,0.33,0
Duvha3_TH_ZAF,Eskom,South_Africa,ST,Coal,1981,2011,575,0,13.25,86000,0.13,0.33,0.33,0
Duvha4_TH_ZAF,Eskom,South_Africa,ST,Coal,1982,2032,575,0,13.2,86000,0.13,0.33,0.33,0
Duvha5_TH_ZAF,Eskom,South_Africa,ST,Coal,1983,2033,575,0,13.15,86000,0.13,0.33,0.33,0
Duvha6_TH_ZAF,Eskom,South_Africa,ST,Coal,1984,2034,575,0,13.1,86000,0.13,0.33,0.33,0
Grootvlei1_TH_ZAF,Eskom,South_Africa,ST,Coal,1973,2030,200,0,14.65,86000,0.13,0.33,0.33,0
Grootvlei2_TH_ZAF,Eskom,South_Africa,ST,Coal,1970,2030,200,0,14.8,86000,0.13,0.33,0.33,0
Grootvlei3_TH_ZAF,Eskom,South_Africa,ST,Coal,1969,2027,200,0,14.85,86000,0.13,0.33,0.33,0
Grootvlei4_TH_ZAF,Eskom,South_Africa,ST,Coal,1969,2027,200,0,14.85,86000,0.13,0.33,0.33,0
Grootvlei5_TH_ZAF,Eskom,South_Africa,ST,Coal,1971,2027,190,0,14.75,86000,0.13,0.33,0.33,0
Grootvlei6_TH_ZAF,Eskom,South_Africa,ST,Coal,1977,2030,190,0,14.45,86000,0.13,0.33,0.33,0
Hendrina1_TH_ZAF,Eskom,South_Africa,ST,Coal,1972,2030,200,0,14.7,86000,0.13,0.33,0.33,0
Hendrina2_TH_ZAF,Eskom,South_Africa,ST,Coal,1971,2030,200,0,14.75,86000,0.13,0.33,0.33,0
Hendrina3_TH_ZAF,Eskom,South_Africa,ST,Coal,1970,2030,200,0,14.8,86000,0.13,0.33,0.33,0
Hendrina4_TH_ZAF,Eskom,South_Africa,ST,Coal,1970,2030,200,0,14.8,86000,0.13,0.33,0.33,0
Hendrina5_TH_ZAF,Eskom,South_Africa,ST,Coal,1971,2030,200,0,14.75,86000,0.13,0.33,0.33,0
Hendrina6_TH_ZAF,Eskom,South_Africa,ST,Coal,1973,2030,195,0,14.65,86000,0.13,0.33,0.33,0
Hendrina7_TH_ZAF,Eskom,South_Africa,ST,Coal,1974,2030,191,0,14.6,86000,0.13,0.33,0.33,0
Hendrina8_TH_ZAF,Eskom,South_Africa,ST,Coal,1975,2030,170,0,14.55,86000,0.13,0.33,0.33,0
Hendrina9_TH_ZAF,Eskom,South_Africa,ST,Coal,1976,2030,167,0,14.5,86000,0.13,0.33,0.33,0
Hendrina10_TH_ZAF,Eskom,South_Africa,ST,Coal,1977,2030,200,0,14.45,86000,0.13,0.33,0.33,0
KelvinA_TH_ZAF,Fringe,South_Africa,ST,Coal,1957,2012,180,0,14.82112056,86000,0.13,0.33,0.33,0
KelvinB_TH_ZAF,Fringe,South_Africa,ST,Coal,1964,2026,420,0,14.32541227,86000,0.13,0.33,0.33,0
Kendal1_TH_ZAF,Eskom,South_Africa,ST,Coal,1988,2038,640,0,12.8,86000,0.13,0.33,0.33,0
Kendal2_TH_ZAF,Eskom,South_Africa,ST,Coal,1989,2039,640,0,12.75,86000,0.13,0.33,0.33,0
Kendal3_TH_ZAF,Eskom,South_Africa,ST,Coal,1990,2040,640,0,12.65,86000,0.13,0.33,0.33,0
Kendal4_TH_ZAF,Eskom,South_Africa,ST,Coal,1991,2041,640,0,12.6,86000,0.13,0.33,0.33,0
Kendal5_TH_ZAF,Eskom,South_Africa,ST,Coal,1992,2042,640,0,12.55,86000,0.13,0.33,0.33,0
Kendal6_TH_ZAF,Eskom,South_Africa,ST,Coal,1993,2043,640,0,12.5,86000,0.13,0.33,0.33,0
Komati_TH_ZAF,Fringe,South_Africa,ST,Coal,1966,2022,1000,0,11.373804,86000,0.13,0.33,0.33,0
Kriel1_TH_ZAF,Eskom,South_Africa,ST,Coal,1976,2030,406.8817204,0,14.5,86000,0.13,0.33,0.33,0
Kriel2_TH_ZAF,Eskom,South_Africa,ST,Coal,1976,2030,406.8817204,0,14.5,86000,0.13,0.33,0.33,0
Kriel3_TH_ZAF,Eskom,South_Africa,ST,Coal,1977,2030,406.8817204,0,14.45,86000,0.13,0.33,0.33,0
Kriel4_TH_ZAF,Eskom,South_Africa,ST,Coal,1978,2030,473.1182796,0,14.4,86000,0.13,0.33,0.33,0
Kriel5_TH_ZAF,Eskom,South_Africa,ST,Coal,1979,2030,473.1182796,0,14.35,86000,0.13,0.33,0.33,0
Kriel6_TH_ZAF,Eskom,South_Africa,ST,Coal,1979,2030,473.1182796,0,14.35,86000,0.13,0.33,0.33,0
Kusile1_TH_ZAF,Eskom,South_Africa,ST,Coal,2018,2068,720,0,8.5,86000,0.13,0.33,0.33,0
Kusile2_TH_ZAF,Eskom,South_Africa,ST,Coal,2020,2070,720,0,8.4,86000,0.13,0.33,0.33,0
Kusile3_TH_ZAF,Eskom,South_Africa,ST,Coal,2021,2071,720,0,8.35,86000,0.13,0.33,0.33,0
Kusile4_TH_ZAF,Eskom,South_Africa,ST,Coal,2022,2072,720,0,8.3,86000,0.13,0.33,0.33,0
Kusile5_TH_ZAF,Eskom,South_Africa,ST,Coal,2024,2074,720.9011264,1,8.3,86000,0.13,0.33,0.33,0
Kusile6_TH_ZAF,Eskom,South_Africa,ST,Coal,2024,2074,720.9011264,1,8.3,86000,0.13,0.33,0.33,0
Lethabo1_TH_ZAF,Eskom,South_Africa,ST,Coal,1985,2035,593,0,14.02700911,86000,0.13,0.33,0.33,0
Lethabo2_TH_ZAF,Eskom,South_Africa,ST,Coal,1986,2036,593,0,14.02700911,86000,0.13,0.33,0.33,0
Lethabo3_TH_ZAF,Eskom,South_Africa,ST,Coal,1987,2037,593,0,14.02700911,86000,0.13,0.33,0.33,0
Lethabo4_TH_ZAF,Eskom,South_Africa,ST,Coal,1987,2037,593,0,14.02700911,86000,0.13,0.33,0.33,0
Lethabo5_TH_ZAF,Eskom,South_Africa,ST,Coal,1989,2039,593,0,14.02700911,86000,0.13,0.33,0.33,0
Lethabo6_TH_ZAF,Eskom,South_Africa,ST,Coal,1990,2040,593,0,14.02700911,86000,0.13,0.33,0.33,0
Majuba1_TH_ZAF,Eskom,South_Africa,ST,Coal,1996,2046,608.5642336,0,12.1,86000,0.13,0.33,0.33,0
Majuba2_TH_ZAF,Eskom,South_Africa,ST,Coal,1997,2047,608.5642336,0,12.05,86000,0.13,0.33,0.33,0
Majuba3_TH_ZAF,Eskom,South_Africa,ST,Coal,1998,2048,608.5642336,0,12,86000,0.13,0.33,0.33,0
Majuba4_TH_ZAF,Eskom,South_Africa,ST,Coal,1999,2049,660.4357664,0,11.95,86000,0.13,0.33,0.33,0
Majuba5_TH_ZAF,Eskom,South_Africa,ST,Coal,2000,2050,660.4357664,0,11.9,86000,0.13,0.33,0.33,0
Majuba6_TH_ZAF,Eskom,South_Africa,ST,Coal,2001,2051,660.4357664,0,11.85,86000,0.13,0.33,0.33,0
Matimba1_TH_ZAF,Eskom,South_Africa,ST,Coal,1987,2037,615,0,12.5843255,86000,0.13,0.33,0.33,0
Matimba2_TH_ZAF,Eskom,South_Africa,ST,Coal,1987,2037,615,0,12.5843255,86000,0.13,0.33,0.33,0
Matimba3_TH_ZAF,Eskom,South_Africa,ST,Coal,1988,2038,615,0,12.5843255,86000,0.13,0.33,0.33,0
Matimba4_TH_ZAF,Eskom,South_Africa,ST,Coal,1989,2039,615,0,12.5843255,86000,0.13,0.33,0.33,0
Matimba5_TH_ZAF,Eskom,South_Africa,ST,Coal,1990,2040,615,0,12.5843255,86000,0.13,0.33,0.33,0
Matimba6_TH_ZAF,Eskom,South_Africa,ST,Coal,1991,2041,615,0,12.5843255,86000,0.13,0.33,0.33,0
Matla1_TH_ZAF,Eskom,South_Africa,ST,Coal,1979,2031,575,0,14.35,86000,0.13,0.33,0.33,0
Matla2_TH_ZAF,Eskom,South_Africa,ST,Coal,1980,2031,575,0,13.3,86000,0.13,0.33,0.33,0
Matla3_TH_ZAF,Eskom,South_Africa,ST,Coal,1980,2031,575,0,13.3,86000,0.13,0.33,0.33,0
Matla4_TH_ZAF,Eskom,South_Africa,ST,Coal,1981,2031,575,0,13.25,86000,0.13,0.33,0.33,0
Matla5_TH_ZAF,Eskom,South_Africa,ST,Coal,1982,2032,575,0,13.2,86000,0.13,0.33,0.33,0
Matla6_TH_ZAF,Eskom,South_Africa,ST,Coal,1983,2033,575,0,13.15,86000,0.13,0.33,0.33,0
Medupi1_TH_ZAF,Eskom,South_Africa,ST,Coal,2015,2065,726,0,9.0990432,86000,0.13,0.33,0.33,0
Medupi2_TH_ZAF,Eskom,South_Africa,ST,Coal,2017,2067,726,0,9.0990432,86000,0.13,0.33,0.33,0
Medupi3_TH_ZAF,Eskom,South_Africa,ST,Coal,2017,2067,726,0,9.0990432,86000,0.13,0.33,0.33,0
Medupi4_TH_ZAF,Eskom,South_Africa,ST,Coal,2019,2069,726,0,9.0990432,86000,0.13,0.33,0.33,0
Medupi5_TH_ZAF,Eskom,South_Africa,ST,Coal,2019,2069,726,0,9.0990432,86000,0.13,0.33,0.33,0
Medupi6_TH_ZAF,Eskom,South_Africa,ST,Coal,2021,2071,726,0,9.0990432,86000,0.13,0.33,0.33,0
PretoriaWest_TH_ZAF,Fringe,South_Africa,ST,Coal,1952,2019,180,0,13.09693531,86000,0.13,0.33,0.33,0
Rooiwal_TH_ZAF,Fringe,South_Africa,ST,Coal,1963,2012,300,0,12.32541227,86000,0.13,0.33,0.33,0
Secunda(SasolChemical)_TH_ZAF,Fringe,South_Africa,ST,Coal,2010,2060,130,0,12.08277112,86000,0.13,0.33,0.33,0
Tutuka1_TH_ZAF,Eskom,South_Africa,ST,Coal,1985,2035,585,0,13.05,86000,0.13,0.33,0.33,0
Tutuka2_TH_ZAF,Eskom,South_Africa,ST,Coal,1985,2035,585,0,13.05,86000,0.13,0.33,0.33,0
Tutuka3_TH_ZAF,Eskom,South_Africa,ST,Coal,1986,2036,585,0,13,86000,0.13,0.33,0.33,0
Tutuka4_TH_ZAF,Eskom,South_Africa,ST,Coal,1987,2037,585,0,12.95,86000,0.13,0.33,0.33,0
Tutuka5_TH_ZAF,Eskom,South_Africa,ST,Coal,1988,2038,585,0,12.8,86000,0.13,0.33,0.33,0
Tutuka6_TH_ZAF,Eskom,South_Africa,ST,Coal,1990,2040,585,0,12.65,86000,0.13,0.33,0.33,0
Koeberg_NU_ZAF,Fringe,South_Africa,ST,Uranium,1984,2044,1854,0,10.53119469,175000,2.8,0.1,0.1,0
ExistingWater_FreeState,Fringe,South_Africa,ROR,Water,2016,2066,8,0,,145000,0.55,1,1,0
ExistingPV_Limpopo,Fringe,South_Africa,PV,PV,2014,2044,118,0,,22000,0,1,1,0
ExistingPV_NorthWest,Fringe,South_Africa,PV,PV,2019,2049,275,0,,22000,0,1,1,1
ExistingPV_NorthernCape,Fringe,South_Africa,PV,PV,2014,2044,1495.32,0,,22000,0,1,1,1
ExistingPV_FreeState,Fringe,South_Africa,PV,PV,2020,2050,199,0,,22000,0,1,1,1
ExistingPV_EasternCape,Fringe,South_Africa,PV,PV,2014,2044,69.6,0,,22000,0,1,1,1
ExistingPV_WesternCape,Fringe,South_Africa,PV,PV,2014,2044,134,0,,22000,0,1,1,1
ExistingCSP_NorthernCape,Fringe,South_Africa,CSP,CSP,2015,2045,500,0,,67300,3.6,1,1,0
ExistingWind_NorthernCape,Fringe,South_Africa,WIND,OnshoreWind,2014,2044,1458.09,0,,32000,0,1,1,1
ExistingWind_WesternCape,Fringe,South_Africa,WIND,OnshoreWind,2014,2044,458.38,0,,32000,0,1,1,1
ExistingWind_EasternCape,Fringe,South_Africa,WIND,OnshoreWind,2014,2044,1426,0,,32000,0,1,1,1
JohannesburgLandfillGas_TH_ZAF,Fringe,South_Africa,GT,Gas,2016,2056,20,0,10,26000,5,0.33,0.33,0
MkuzeBiomass_BIO_ZAF,Fringe,South_Africa,ST,Biomass,2014,2064,16.5,0,10,164000,5,0.33,0.33,0
NgodwanaEnergyProject_BIO_ZAF,Fringe,South_Africa,ST,Biomass,2022,2072,25,0,10,164000,5,0.33,0.33,0
Sere_WIND_ZAF,Fringe,South_Africa,WIND,OnshoreWind,2015,2045,100,0,,32000,0,1,1,1
Komati_Wind_ZAF,Fringe,South_Africa,WIND,OnshoreWind,2025,2055,70,1,,30000,0,1,1,1
Komati_Solar_ZAF,Fringe,South_Africa,PV,PV,2025,2055,100,1,,17000,0,1,1,1
Komati_Battery_ZAF,Fringe,South_Africa,STORAGE,Battery,2025,2055,150,1,,,0,1,1,0
WindBidW5_EasternCape,Fringe,South_Africa,WIND,OnshoreWind,2025,2055,500,1,,,0,1,1,1
WindBidW5_WesternCape,Fringe,South_Africa,WIND,OnshoreWind,2025,2055,280,1,,,0,1,1,1
PVBidW5_FreeState,Fringe,South_Africa,PV,PV,2025,2055,75,1,,,0,1,1,1
Granspan_PV_NorthernCape,Fringe,South_Africa,PV,PV,2024,2054,75,1,,,0,1,1,1
Grootfontein_PV_WesternCape,Fringe,South_Africa,PV,PV,2025,2055,225,1,,,0,1,1,1
WindBidW7_EasternCape,Fringe,South_Africa,WIND,OnshoreWind,2027,2057,692.4,1,,,0,1,1,1
WindBidW7_KwaZuluNatal,Fringe,South_Africa,WIND,OnshoreWind,2027,2057,240,1,,,0,1,1,1
WindBidW7_NorthernCape,Fringe,South_Africa,WIND,OnshoreWind,2027,2057,380,1,,,0,1,1,1
WindBidW7_WesternCape,Fringe,South_Africa,WIND,OnshoreWind,2027,2057,380,1,,,0,1,1,1
WindBidW7_FreeSstate,Fringe,South_Africa,PV,PV,2027,2057,4390,1,,,0,1,1,1
WindBidW7_Limpopo,Fringe,South_Africa,PV,PV,2027,2057,2715,1,,,0,1,1,1
WindBidW7_Mpumalanga,Fringe,South_Africa,PV,PV,2027,2057,480,1,,,0,1,1,1
WindBidW7_NorthWest,Fringe,South_Africa,PV,PV,2027,2057,650,1,,,0,1,1,1
PVBidW7_NorthernCape,Fringe,South_Africa,PV,PV,2027,2057,291.04,1,,,0,1,1,1
Redstone_CSP_NorthernCape,Fringe,South_Africa,CSP,CSP,2024,2054,100,1,,,0,1,1,0
BatteryIPP_WesternCape,Fringe,South_Africa,STORAGE,Battery,2028,2058,500,1,,,0,1,1,0